symbol,name,exchange,instrument_type,universe,provider_symbol,effective_from,effective_to,source,source_reference
AEFES,Anadolu Efes Biracilik ve Malt San. A.S.,BIST,STOCK,BIST100,AEFES.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
AHGAZ,Aksa Dogal Gaz Dagitim A.S.,BIST,STOCK,BIST100,AHGAZ.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
AKBNK,Akbank T.A.S.,BIST,STOCK,BIST100,AKBNK.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
AKCNS,Akcansa Cimento San. ve Tic. A.S.,BIST,STOCK,BIST100,AKCNS.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
AKFGY,Akfen Gayrimenkul Yatirim Ortakligi A.S.,BIST,STOCK,BIST100,AKFGY.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
AKSA,Aksa Akrilik Kimya San. A.S.,BIST,STOCK,BIST100,AKSA.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
AKSEN,Aksen Enerji A.S.,BIST,STOCK,BIST100,AKSEN.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ALARK,Alarko Holding A.S.,BIST,STOCK,BIST100,ALARK.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ALBRK,Albaraka Turk Katilim Bankasi A.S.,BIST,STOCK,BIST100,ALBRK.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ALFAS,Alfa Solar Enerji A.S.,BIST,STOCK,BIST100,ALFAS.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ANSGR,Anadolu Sigorta A.S.,BIST,STOCK,BIST100,ANSGR.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ARCLK,Arcelik A.S.,BIST,STOCK,BIST100,ARCLK.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ASELS,Aselsan Elektronik Sanayi ve Ticaret A.S.,BIST,STOCK,BIST100,ASELS.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ASTOR,Astor Enerji A.S.,BIST,STOCK,BIST100,ASTOR.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
BERA,Bera Holding A.S.,BIST,STOCK,BIST100,BERA.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
BIENY,Bien Yapi Endustrisi ve Ticaret A.S.,BIST,STOCK,BIST100,BIENY.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
BIMAS,BIM Birlesik Magazalar A.S.,BIST,STOCK,BIST100,BIMAS.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
BIOEN,Biotrend Cevre ve Enerji Yatirim A.S.,BIST,STOCK,BIST100,BIOEN.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
BOBET,Bogazici Beton Sanayi ve Ticaret A.S.,BIST,STOCK,BIST100,BOBET.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
BRSAN,Borusan Mannesmann Boru Sanayii ve Ticaret A.S.,BIST,STOCK,BIST100,BRSAN.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
BRYAT,BY Holding A.S.,BIST,STOCK,BIST100,BRYAT.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
BUCIM,Bursa Cimento Fabrikasi A.S.,BIST,STOCK,BIST100,BUCIM.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
CANTE,Can-Pak Ambalaj Sanayi A.S.,BIST,STOCK,BIST100,CANTE.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
CCOLA,Coca-Cola Icecek A.S.,BIST,STOCK,BIST100,CCOLA.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
CIMSA,Cimsa Cimento San. ve Tic. A.S.,BIST,STOCK,BIST100,CIMSA.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
CVKMD,CVK Madencilik San. ve Tic. A.S.,BIST,STOCK,BIST100,CVKMD.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
